@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"#terremotochile @reportwiteros @tvn24h como es la situacion en tirua ??? porfavor !! * #terremotochile @reportwiteros @tvn24h","6","2","0","125","13","2","1"
"rt @ddzuniga: rt @oscarcontardo: ¿alguien ha sabido algo de @jisa39 ? // lo mismo quiero saber yoooo","4","3","2","101","15","0","1"
"se acaba de caer esta tienda a las personas que se encuentran transitando cuidado http://url.ie/58eo","3","2","3","100","18","0","1"
"mañana estimados nos juntamos a las 9.00 fuera de la gobernación para organizar la ayuda en #curico #terremotochile (rt)","8","2","1","122","22","2","1"
"imágenes de talcahuano en tvn se ven varios campamento","3","1","2","55","10","0","1"
"rt @tele13online: rt @elxzer0 urgente en constitucion apareció cristian beas lopez de 16 aÑos. es discapacitado y esta solo en esa ciudad","8","4","0","139","23","0","1"
"cuenta 362883 del banco del estado para ayudar a los que quedaron sin nada","2","3","2","74","14","0","1"
"rt @elnacionalweb embajador de chile en venezuela: ayuda humanitaria llegará en las próximas horas a las zonas afectadas","7","1","0","122","19","0","1"
"rt @carolinamillan: rt @juanpablotapia: por favor si alguien sabe de marco raineri y lorena romero en concepción que avise. (rt!)","7","3","3","130","21","0","1"
"elevan a 214 las víctimas en el terremoto de chile en cadenaser.com: http://bit.ly/aqdvrl via @addthis","6","1","0","103","20","0","1"
"terremoto provocó fuga de màs de 200 reos de la prisión de chillá en chile","7","1","0","78","17","0","1"
"@biobio la familia yañes moraa busca a la familia baltierra sandoval (tia nena) ubicados en la ciudad de hualpen","5","3","0","113","20","0","1"
"rt @cunerodesatan: @racsolin @lunetaz   que temblo en chile???&lt;-- y si fue fuerte vee http://bit.ly/dw7q80","3","3","0","109","18","0","1"
"rt @ejercito_chile: regimiento reforzado nº 7 u201cchacabucou201d ha apoyando la elaboración de catastros para la onemi en el sector de dichato.","10","1","0","146","22","0","1"
"rt @pepepunk: llamado de protecccion civil para que la gente no vaya a las playas del pacifico mexicano #tsunami #terremoto #mexico","8","1","0","131","21","3","1"
"en estos momentos veo mucho inmigrante peruano en las calles con miedo por regresar a los precarios cités en el centro de santiago.","8","2","0","132","24","0","1"
"en 15 minutos llega hola a hawai luego del terremoto en chile","5","1","0","61","12","0","1"
"alguien sabe que pasa con chenquenco. hay familiares en esa zona y la imformacion es nula","4","2","1","89","16","0","1"
"alguien sabe de jeannette o de mariella saavedra alvarez ellos son de concepcion","3","1","2","80","13","0","1"
"@reportwiteros en chiloé el terremoto también se sintió de forma muy fuerte pero sin desgracias personales ni daños mayore","5","2","1","126","21","0","1"
"rt @soho_doll: en 15 minutos todos los chilenos en estocolmo reunidos en sergels torg apoyando a chile #terremotochile @jumastorga @star ...","7","2","1","140","20","1","1"
"rt @dariogallo: rt @payitoweb: evo le dona la mitad de su sueldo a chile. bit.ly/ddj7ji (vía @elmostrador) &lt;=hagamos algo para que...","10","3","3","137","25","0","1"
"rt @elcomercio: el número de muertos por el terremoto en chile se elevó a 214 http://is.gd/9lttv","7","1","1","98","20","0","1"
"rt @bubisonica: @ncarvajal   necesitamos saber de mis tias consuelo y brigida orellana gonzalez de santa rosa de lavaderos en #talca","8","2","0","132","20","1","1"
"rt @rsiderakis: para quienes necesitan viajar google maps entrega detalles de las rutas http://bit.ly/dbazay","5","3","1","108","17","0","1"
"@acordiviola que se escucha de tsunami? como esta todo contigo y tu familia ?","3","2","2","77","13","0","1"
"rt @cooperativa: los teléfonos de emergencia son el 568 129","4","0","0","60","11","0","1"
"@tomassonbz acá hay rumores de que cortarán el agua. me dijeron el domingo pero no ha pasado nada. lu","4","3","2","103","20","0","1"
"rt @infozeus: rt @cfsoto: @tele13online en #talca estan saqueando casas con gente adentro acabo de hablar con mis primo","8","3","0","119","19","1","1"
"rt @jccortes: rt @milenio: ola de dos metros llega a costa de huatulco; hay hoteles y comercios inundados.  #tsunami http://bit.ly/9zcygy","9","1","1","137","23","1","1"
"chile  se decreta triangulo de silencio en edif borderio en conce... escucharon ruido en piso 6. hay esperanza de vida","9","2","1","118","20","0","1"
"en san pedro de la paz la gente está más tranquila con la llegada del ejército. mi familia está bie","7","0","0","103","22","0","1"
"rt @tvn_mauricio: rt @ximenagambra: puerto montt: se recibe  ayuda enlas escuela 6 (escuela españa","8","2","1","99","15","0","1"
"embajada chilena: ninguna de las cuentas internacionales han sido reconocidas por el gobierno chileno. unica reconocida cruz roja chilena","4","1","1","137","19","0","1"
"movistar méxico regala todas las llamadas a #chile q sean necesarias para localizar familiares tras el sismo solo hoy domingo 28 de febrero","7","3","1","140","24","1","1"
"@pauupu para victoria todavia no tienen luz d:","3","1","0","46","8","0","1"
"@cruzrojainforma en comuna de copiapó en donde hay donaciones de sangre. durante estos dias","6","0","1","92","14","0","1"
"rt @curvaspoliticas #chile tarea para l@s valientes: camioneta 4x4 en curicÓ para ayudar en traslado leones de iloca ecopolis.di@gmail.com","8","2","0","139","23","1","1"
"@fernandopaulsen @biobio busco a rosa baro mendoza a su hijo y nieta de corone","4","2","0","78","14","0","1"
"rt @rennaaa: @reportwiteros porfavor.. la ayuda en valparaíso se recolecta en la casa central de la pucv ... se necesitan alimentos! #te ...","7","3","3","141","22","1","1"
"@anetteoficial carnalitos la embajada chilena n mex abriÓ la cuenta 4042482448 n hsbc para apoyar a ls damnificados c pide q c retwiteen","6","3","1","137","23","0","1"
"bachelet confirma 708 muertos: 541 en el maul","3","1","0","45","8","0","1"
"la alerta de tsunami se extiende a todos los paises de las costas del pacifico","4","2","1","78","15","0","1"
"rt @irkaflor: si alguien conoce a jorge sepulveda de puente alto cerca santiago comuniquence via twitter conmigo por favor","9","2","2","122","19","0","1"
"@biobiodeportes: se busca a manuel silva moraga edad 20 aÑos ciudad de talcahuano se encuentra desaparecido junto a toda su familia 84572407","8","1","2","141","23","0","1"
"rt @chaborrin: como aplican un toque de queda con el peligro de otro sismo? todos encerrados a esperar otro sismo","7","2","1","113","20","0","1"
"http://www.facebook.com/#!/group.php?gid=10150095451980151&ref=ts aqui hay informacion de las carreteras vía google.","3","1","0","117","19","0","1"
"@itskaritto sip xd muchas replicas d: pero en talca hubo una de 6.1 ;o que miedo","4","0","2","80","17","0","1"
"alguien sabe de @naibyl  es de conce !","2","1","1","38","7","0","1"
"mañana en san felipe se puede otorgar ayuda a todos los damnificados de conce...a partir de la 9:30 de la mañana en colegio de profesores","8","1","1","139","29","0","1"
"para ayudar a las víctimas del terremoto que azotó a nuestro país el pasado viernes 26 http://chileayuda.com/","4","2","1","112","21","0","1"
"rt @paropli: @potq fundación gesta ofrece 15 alojamientos en curicó para profesionales que deseen trasladarse a ayudar: contactarse al 6 ...","7","4","1","142","21","0","1"
